,start,end,nsnps,nsamplecov,tree
0,0,100000,32.0,29.0,"(reference:1e-06,(AR:1e-06,DO:0.0109044)100:0.0339982,(CH:1e-06,((HE:0.00470066,LALC2:0.00397385)100:0.00395854,((FLBA140:1e-06,MXGT4:1e-06)100:0.00301778,(CUCA4:1e-06,(HNDA09:1e-06,(((CRL0030:1e-06,(MXED8:1e-06,TXGR3:1e-06)100:0.00756515)100:0.00329064,(FLSF47:1e-06,(BJVL19:1e-06,(CUVN10:1e-06,(SCCU3:1e-06,(FLSF54:0.00212308,TXMD3:1e-06)100:1e-06)100:1e-06)100:4.07164e-05)100:0.00232593)100:0.0044038)100:0.00208911,((CUSV6:1e-06,(FLMO62:0.00595469,CRL0001:1e-06)100:1e-06)100:0.00534755,(DU:0.00332195,(BZBB1:0.00473098,((NI:0.018909,FLWO6:0.00371049)100:0.00535277,(FLAB109:0.0202558,(EN:1e-06,MXSA3017:0.0109664)100:0.0345075)100:1e-06)100:1e-06)100:0.00601313)100:0.00346054)100:1e-06)100:1e-06)100:1e-06)100:0.000909805)100:1e-06)100:0.00296429)100:1e-06);"
1,20000,120000,33.0,29.0,"(reference:1e-06,(AR:1e-06,DO:0.0108262)100:0.0337317,(CH:1e-06,((HE:0.00471296,LALC2:0.00400026)100:0.003968,((FLBA140:1e-06,MXGT4:1e-06)100:0.00428238,(TXMD3:1e-06,(((CRL0030:1e-06,(MXED8:1e-06,TXGR3:1e-06)100:0.00578052)100:0.00504173,((CUVN10:0.0227582,SCCU3:1e-06)100:1e-06,(FLSF47:0.00505805,(BJVL19:1e-06,FLSF54:0.00236424)100:0.0048448)100:0.000143715)100:0.0033306)100:0.00127598,(CUCA4:1e-06,(HNDA09:1e-06,(CUSV6:1e-06,((CRL0001:1e-06,FLMO62:0.00598997)100:0.00536588,(DU:0.00342721,((NI:0.0203138,FLWO6:0.00279171)100:0.00375618,(BZBB1:0.00488929,(FLAB109:0.0142482,(EN:1e-06,MXSA3017:0.0109752)100:0.0344208)100:1e-06)100:1e-06)100:0.00439556)100:0.00281037)100:6.31395e-06)100:2.45518e-05)100:1e-06)100:0.000142908)100:1e-06)100:0.000547951)100:1e-06)100:0.00381994)100:1e-06);"
2,40000,140000,36.0,30.0,"(CH:1e-06,reference:1e-06,((AR:1e-06,DO:0.0105317)100:0.0167731,(HNDA09:1e-06,(((MXED8:1e-06,TXGR3:1e-06)100:0.0107318,(TXMD3:1e-06,(CUSV6:1e-06,((FLMO62:0.0060884,CRL0001:1e-06)100:0.00529627,(CUCA4:1e-06,(DU:0.00242764,(BZBB1:0.00437985,FLAB109:0.0168886)100:0.00254016)100:1e-06)100:0.00357338)100:6.767e-06)100:1.28662e-05)100:8.86635e-05)100:0.000585202,((MXGT4:1e-06,FLBA140:1e-06)100:0.00428212,(LALC2:0.00512417,((CRL0030:1e-06,CUVN10:0.018078)100:0.00458773,((BJSL25:1e-06,(BJVL19:1e-06,(SCCU3:1e-06,FLSF54:0.00258989)100:0.000199729)100:0.0019082)100:0.00461723,((FLWO6:0.00225695,(HE:0.00460218,NI:0.00875832)100:0.00686457)100:0.00227412,(FLSF47:1e-06,(EN:1e-06,MXSA3017:0.0108244)100:0.0318413)100:0.00243398)100:0.00349481)100:0.00262693)100:0.00149219)100:0.000830616)100:1e-06)100:0.0010437)100:2.98214e-05)100:0.00573758);"
3,60000,160000,30.0,29.0,"(reference:1e-06,(CH:1e-06,LALC2:0.00641629)100:1e-06,(TXGR3:0.010883,((FLBA140:1e-06,MXGT4:1e-06)100:0.00495897,((FLMO62:0.0061623,CRL0001:1e-06)100:0.00646234,(CUCA4:1e-06,((DU:0.00204946,(FLAB109:0.0153776,(AR:1e-06,BZBB1:0.00268922)100:0.00167851)100:0.00249932)100:0.00305206,((HNDA09:1e-06,((FLWO6:0.00289855,(NI:0.0163412,HE:1e-06)100:0.00464319)100:0.00291738,(FLSF47:1e-06,(MXSA3017:0.00582034,EN:1e-06)100:0.0133497)100:0.0044731)100:0.00564659)100:0.00154473,((CUVN10:0.0186304,CRL0030:1e-06)100:0.00387117,(TXMD3:1e-06,(BJSL25:1e-06,(CUSV6:1e-06,(MXED8:1e-06,(BJVL19:1e-06,(SCCU3:1e-06,FLSF54:0.0035472)100:3.27295e-05)100:1e-06)100:1e-06)100:0.00106925)100:1e-06)100:0.00454905)100:1e-06)100:0.00263144)100:1e-06)100:0.00103505)100:0.00224646)100:3.30649e-06)100:0.0036899);"
4,80000,180000,31.0,29.0,"(CH:1e-06,reference:1e-06,(LALC2:0.00645199,(TXGR3:0.010909,((FLBA140:1e-06,MXGT4:1e-06)100:0.004954,((CRL0001:1e-06,FLMO62:0.00626887)100:0.00653424,((CUCA4:1e-06,(DU:0.00186015,(MXED8:1e-06,((CUSV6:1e-06,CRL0030:1e-06)100:1e-06,(SCCU3:1e-06,(CUVN10:0.0123641,(AR:0.000208475,BZBB1:1e-06)100:0.0011494)100:0.00428967)100:0.000811304)100:1e-06)100:0.00180195)100:1e-06)100:0.00323393,((TXMD3:1e-06,(BJSL25:1e-06,(FLSF54:0.00382723,BJVL19:1e-06)100:0.000395235)100:1e-06)100:0.00401855,(HNDA09:1e-06,(FLAB109:0.0133552,((FLWO6:0.00288103,(HE:1e-06,NI:0.0170868)100:0.00542774)100:0.00320915,(FLSF47:1e-06,(EN:1e-06,MXSA3017:0.00574286)100:0.00470235)100:0.0123373)100:1e-06)100:0.00272799)100:0.00125536)100:0.00242797)100:0.00394)100:0.00205736)100:1.88247e-05)100:0.000647393)100:0.00290322);"
5,100000,200000,6.0,21.0,"(CUVN10:0.0368365,reference:0.00367933,(BJVL19:1e-06,(CUSV6:1e-06,(MXED8:1e-06,(CRL0030:0.00371208,((TXGR3:0.0113259,MXGT4:0.0111605)100:0.000350852,(FLAB109:1e-06,((SCCU3:1e-06,(TXMD3:1e-06,(AR:1e-06,BZBB1:1e-06)100:1e-06)100:0.00632981)100:0.00157208,((FLWO6:1e-06,(BJSL25:1e-06,FLSF54:0.00611561)100:1e-06)100:0.00571039,(HNDA09:1e-06,(MXSA3017:1e-06,(HE:1e-06,(FLSF47:1e-06,NI:0.0107599)100:1e-06)100:1e-06)100:0.0134244)100:0.00542778)100:0.00333102)100:0.0047502)100:0.0106457)100:1e-06)100:0.00449865)100:1e-06)100:1e-06)100:0.000418032);"
6,120000,220000,12.0,27.0,"(CH:0.0585,reference:0.0131736,(CRL0001:1e-06,((CUVN10:1e-06,(FLSF33:1e-06,(FLBA140:0.00574167,(DO:1e-06,(DU:1e-06,FLAB109:1e-06)100:0.00069217)100:0.000215225)100:1e-06)100:1e-06)100:0.00437276,((SCCU3:1e-06,(MXED8:0.0118873,((NI:0.00360173,HE:1e-06)100:0.0100822,(TXMD3:1e-06,(FLWO6:1e-06,(FLCK18:1e-06,(BZBB1:1e-06,AR:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0039844)100:0.00225301)100:1e-06)100:0.00556687,(CRL0030:1e-06,(CUSV6:1e-06,(BJVL19:1e-06,(BJSL25:1e-06,(FLSF47:1e-06,(HNDA09:1e-06,(MXSA3017:1e-06,(FLSF54:1e-06,FLCK216:1e-06)100:0.00893761)100:1e-06)100:1e-06)100:0.00442265)100:1e-06)100:0.00466447)100:0.000116315)100:0.000877478)100:1e-06)100:1e-06)100:3.32542e-05);"
7,140000,240000,26.0,35.0,"(CH:0.015069,reference:0.00866907,(FLSF33:0.00233971,((MXGT4:1e-06,(DO:1e-06,(DU:1e-06,(HE:0.0022132,NI:1e-06)100:0.0137593)100:1e-06)100:1e-06)100:0.00348178,(((FLSF54:1e-06,FLBA140:1e-06)100:0.00493844,(LALC2:1e-06,(CUSV6:1e-06,(FLMO62:1e-06,(TXWV2:1e-06,(EN:1e-06,(SCCU3:1e-06,(MXED8:0.007137,(AR:1e-06,FLCK18:1e-06)100:0.00227062)100:0.000534227)100:7.97587e-06)100:1e-06)100:1e-06)100:5.46672e-05)100:0.000422249)100:0.00222341)100:1e-06,(CUCA4:1e-06,((CRL0001:1e-06,(CUVN10:1e-06,(CRL0030:1e-06,(TXGR3:1e-06,(BJSB3:0.000108529,FLSA185:1e-06)100:1e-06)100:3.8234e-05)100:0.00265798)100:1e-06)100:1e-06,(BJSL25:1e-06,(BJVL19:1e-06,(TXMD3:1e-06,(FLAB109:0.00280068,(FLWO6:1e-06,(FLCK216:0.010032,(FLSF47:1e-06,(HNDA09:1e-06,MXSA3017:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00163425)100:1e-06)100:1e-06)100:1e-06)100:0.00312937)100:0.00177528)100:0.000119739)100:0.00289119)100:0.00188441)100:1e-06);"
8,160000,260000,42.0,36.0,"(CH:0.0104528,reference:0.0138452,((SCCU3:1e-06,(AR:1e-06,EN:1e-06)100:0.00303037)100:0.00229215,(DO:1e-06,((DU:1e-06,(NI:1e-06,HE:0.00146657)100:0.0126512)100:0.00117734,(MXGT4:0.00271213,(FLAB109:0.000941674,((BJSL25:1e-06,(FLCK216:0.00800006,(FLSF47:1e-06,BJVL19:1e-06)100:1e-06)100:1e-06)100:0.0028818,(FLWO6:1e-06,(CUVN10:1e-06,(CRL0001:1e-06,((CUCA4:1e-06,(CUSV6:1e-06,(TXGR3:1e-06,(TXMD3:1e-06,(BJSB3:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00287143,((LALC2:1e-06,(TXWV2:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,FLBA140:0.00122468)100:1e-06)100:1e-06)100:0.00160433)100:0.00159992,((BZBB1:1e-06,(HNDA09:1e-06,CRL0030:1e-06)100:1e-06)100:0.00506112,(FLSA185:1e-06,(MXED8:0.00542329,(MXSA3017:0.0065142,FLCK18:1e-06)100:0.00219867)100:1e-06)100:0.00129294)100:0.00261247)100:1e-06)100:0.00113291)100:1e-06)100:1e-06)100:0.000743557)100:0.000917818)100:0.00464767)100:0.0018919)100:0.00119351)100:0.00218471)100:0.00249447);"
9,180000,280000,50.0,36.0,"(CH:0.00927929,reference:0.0095915,((EN:1e-06,AR:1e-06)100:0.00290183,((DU:1e-06,DO:1e-06)100:0.00256415,((NI:1e-06,HE:0.00117163)100:0.0118219,(MXGT4:0.00217259,(FLCK18:0.00159912,(((FLCK216:0.00617589,FLSF47:1e-06)100:1e-06,(BJSL25:1e-06,BJVL19:1e-06)100:0.00232621)100:0.00201211,(CUSV6:1e-06,(FLWO6:1e-06,(CUVN10:1e-06,(CRL0001:1e-06,(CUCA4:1e-06,(BJSB3:0.00747849,((FLSA185:1e-06,(MXSA3017:0.00470277,(MXED8:0.00560106,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:0.0013815)100:0.00106264)100:1e-06)100:0.00171783)100:0.001727,((TXMD3:1e-06,(FLSF33:1e-06,(TXGR3:0.00120764,FLAB109:1e-06)100:0.00220849)100:0.00186944)100:1e-06,(LALC2:1e-06,(SCCU3:1e-06,(TXWV2:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,FLBA140:0.00115651)100:1e-06)100:1e-06)100:1e-06)100:0.00149428)100:0.00149492)100:1e-06)100:1e-06)100:1e-06)100:0.00126643)100:1e-06)100:1e-06)100:1e-06)100:0.000936228)100:0.00165782)100:0.0046206)100:0.00272911)100:0.00126504)100:0.00236324)100:0.00203017);"
