,start,end,nsnps,nsamplecov,tree
0,0,100000,36,35,"(reference:0.00901183,(CH:0.0104112,(DU:0.00963059,(EN:0.00294243,(AR:1e-06,DO:1e-06)100:1e-06)100:0.0051451)100:0.00120393)100:0.00239223,((HE:0.0015731,NI:0.00329628)100:0.00717625,((CRL0030:0.00107818,(CRL0001:1e-06,HNDA09:1e-06)100:0.00569178)100:0.00227289,(SCCU3:1e-06,(BZBB1:1e-06,(CUVN10:1e-06,(MXSA3017:1e-06,(((TXGR3:1e-06,(MXED8:1e-06,FLCK216:1e-06)100:1e-06)100:1e-06,(TXMD3:1e-06,(BJVL19:1e-06,(BJSL25:1e-06,BJSB3:1e-06)100:0.00126706)100:8.37431e-05)100:0.00117585)100:1e-06,(MXGT4:1e-06,(FLSA185:1e-06,((FLMO62:0.00256528,(CUCA4:1e-06,FLSF33:1e-06)100:0.00132038)100:1e-06,(FLBA140:1e-06,(FLSF54:1e-06,(FLAB109:1e-06,(FLSF47:1e-06,((FLWO6:1e-06,FLCK18:1e-06)100:1e-06,(CUSV6:1e-06,LALC2:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00165229)100:0.00165706)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00106039)100:0.011762)100:0.0049709);"
1,25000,125000,26,35,"(CH:0.0102213,reference:0.00604738,((EN:0.00393058,(DO:1e-06,AR:1e-06)100:1e-06)100:0.00595229,(DU:0.0095522,((NI:0.00189632,HE:0.0018408)100:0.00575639,((FLMO62:0.00330714,(FLBA140:1e-06,(FLSF54:1e-06,((FLAB109:1e-06,FLSF33:1e-06)100:1e-06,((FLSA185:1e-06,FLSF47:1e-06)100:1e-06,(CUSV6:1e-06,(LALC2:1e-06,(FLCK18:1e-06,FLWO6:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.000608249)100:0.000754055,(CUCA4:1e-06,(FLCK216:1e-06,((MXSA3017:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0001:0.00570659,(HNDA09:1e-06,CRL0030:1e-06)100:0.00177141)100:0.00370385)100:1e-06)100:1e-06)100:1e-06,((MXGT4:1e-06,(TXGR3:1e-06,TXMD3:1e-06)100:1e-06)100:1e-06,(BJVL19:1e-06,(MXED8:1e-06,(SCCU3:1e-06,(BJSL25:1e-06,BJSB3:1e-06)100:0.00157426)100:5.96002e-05)100:1e-06)100:1e-06)100:1e-06)100:0.00114308)100:1e-06)100:0.000207473)100:0.0134015)100:0.00526914)100:0.00150737)100:0.00198537);"
2,50000,150000,26,35,"(CH:0.0102213,reference:0.00604738,((EN:0.00393058,(DO:1e-06,AR:1e-06)100:1e-06)100:0.00595229,(DU:0.0095522,((NI:0.00189632,HE:0.0018408)100:0.00575639,((FLMO62:0.00330714,(FLBA140:1e-06,(FLSF54:1e-06,((FLAB109:1e-06,FLSF33:1e-06)100:1e-06,((FLSA185:1e-06,FLSF47:1e-06)100:1e-06,(CUSV6:1e-06,(LALC2:1e-06,(FLCK18:1e-06,FLWO6:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.000608249)100:0.000754055,(CUCA4:1e-06,(FLCK216:1e-06,((MXSA3017:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0001:0.00570659,(HNDA09:1e-06,CRL0030:1e-06)100:0.00177141)100:0.00370385)100:1e-06)100:1e-06)100:1e-06,((MXGT4:1e-06,(TXGR3:1e-06,TXMD3:1e-06)100:1e-06)100:1e-06,(BJVL19:1e-06,(MXED8:1e-06,(SCCU3:1e-06,(BJSL25:1e-06,BJSB3:1e-06)100:0.00157426)100:5.96002e-05)100:1e-06)100:1e-06)100:1e-06)100:0.00114308)100:1e-06)100:0.000207473)100:0.0134015)100:0.00526914)100:0.00150737)100:0.00198537);"
3,75000,175000,12,34,"(reference:0.0279871,(EN:1e-06,(DO:1e-06,AR:1e-06)100:0.00389967)100:0.00143567,((DU:0.0166388,(HE:0.00544174,NI:1e-06)100:0.00544699)100:1e-06,((CRL0001:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:1e-06)100:0.0115293,(BZBB1:1e-06,(CUVN10:1e-06,(MXSA3017:1e-06,(((TXGR3:1e-06,LALC2:1e-06)100:1e-06,(TXMD3:1e-06,(CUSV6:1e-06,MXGT4:1e-06)100:1e-06)100:1e-06)100:1e-06,(CUCA4:1e-06,(FLSF47:1e-06,(FLSA185:1e-06,(((FLCK216:1e-06,FLMO62:0.0113896)100:1e-06,((FLCK18:1e-06,CH:1e-06)100:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:0.00561104)100:1e-06)100:1e-06,(BJVL19:1e-06,(FLAB109:1e-06,(FLSF33:1e-06,((FLSF54:1e-06,FLWO6:1e-06)100:1e-06,(FLBA140:1e-06,MXED8:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00322358)100:1e-06)100:1e-06)100:0.00180412)100:0.0172249)100:0.00553271);"
4,100000,200000,26,34,"(reference:0.00407889,(CH:0.0194375,(HE:1e-06,NI:0.00364408)100:0.0287714)100:0.0117414,((LALC2:1e-06,(FLCK18:1e-06,(FLAB109:1e-06,(FLSF47:1e-06,(FLWO6:1e-06,MXSA3017:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00202179)100:0.00202656,(FLMO62:1e-06,(FLSF33:0.00824768,(DO:1e-06,(TXWV2:0.00724919,(FLBA140:1e-06,(FLSF54:1e-06,((BJSB3:1e-06,(BJVL19:1e-06,(MXGT4:1e-06,(TXGR3:1e-06,(FLCK216:1e-06,(FLSA185:1e-06,(BJSL25:1e-06,TXMD3:0.0042641)100:1e-06)100:1e-06)100:0.00229114)100:1e-06)100:1e-06)100:1e-06)100:1e-06,((CUSV6:1e-06,HNDA09:0.00182502)100:1e-06,(AR:1e-06,((MXED8:1e-06,(SCCU3:1e-06,CUCA4:1e-06)100:0.00181715)100:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0001:1e-06,CRL0030:1e-06)100:1e-06)100:0.00136391)100:0.00136491)100:1e-06)100:0.00407593)100:1e-06)100:0.00270766)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06);"
5,125000,225000,40,34,"(AR:0.00424499,reference:0.00325515,((CH:0.0191788,(HE:1e-06,NI:0.00266539)100:0.0325672)100:0.0133564,((LALC2:1e-06,(DO:1e-06,(FLCK18:1e-06,(TXWV2:0.00708934,((FLWO6:1e-06,MXSA3017:1e-06)100:1e-06,(FLAB109:1e-06,FLSF47:1e-06)100:0.00142977)100:0.00140936)100:2.15317e-05)100:1e-06)100:1e-06)100:0.00143127,(FLSF54:1e-06,(FLBA140:1e-06,(FLMO62:1e-06,(((MXED8:1e-06,(CUCA4:1e-06,SCCU3:1e-06)100:0.0018665)100:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0030:1e-06,CRL0001:1e-06)100:0.00107234)100:6.74527e-06)100:0.00108198)100:0.00323757,((CUSV6:1e-06,HNDA09:0.00185224)100:1e-06,(BJSB3:1e-06,(BJVL19:1e-06,(MXGT4:1e-06,(TXGR3:1e-06,(FLSF33:0.00839168,(FLCK216:1e-06,(FLSA185:1e-06,(BJSL25:1e-06,TXMD3:0.00428353)100:1e-06)100:1e-06)100:0.00234919)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00215606)100:1e-06)100:1e-06)100:1e-06)100:0.00683969)100:0.00299891);"
6,150000,250000,52,36,"(AR:0.00426982,reference:0.00328189,((DU:1e-06,EN:0.00271103)100:0.00805881,((CH:0.0195632,(NI:0.00308496,HE:1e-06)100:0.0389006)100:0.0159415,(((FLCK18:1e-06,LALC2:1e-06)100:1e-06,(FLSF54:1e-06,((FLBA140:1e-06,(FLCK216:0.00272147,FLSF33:1e-06)100:0.00471979)100:1e-06,(FLMO62:1e-06,((FLAB109:1e-06,FLSF47:1e-06)100:0.00115118,(MXSA3017:0.00117331,FLWO6:1e-06)100:1e-06)100:0.00115141)100:1e-06)100:1e-06)100:0.000765676)100:0.0023259,(((MXED8:1e-06,(CUCA4:1e-06,SCCU3:1e-06)100:0.00191409)100:1e-06,(DO:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0001:1e-06,CRL0030:1e-06)100:0.000110887)100:0.000719252)100:4.34718e-06)100:0.000773525)100:0.00232472,((TXMD3:0.00228953,BJSL25:1e-06)100:0.00483771,(BJVL19:1e-06,(BJSB3:1e-06,(TXWV2:0.00733122,((HNDA09:1e-06,CUSV6:1e-06)100:0.00242982,(TXGR3:1e-06,(FLSA185:1e-06,MXGT4:0.0013711)100:1e-06)100:1e-06)100:0.00108764)100:1.57406e-05)100:1e-06)100:1e-06)100:1e-06)100:0.0023201)100:0.00701627)100:0.000988955)100:0.00202454);"
7,175000,275000,52,36,"(AR:0.00426982,reference:0.00328189,((DU:1e-06,EN:0.00271103)100:0.00805881,((CH:0.0195632,(NI:0.00308496,HE:1e-06)100:0.0389006)100:0.0159415,(((FLCK18:1e-06,LALC2:1e-06)100:1e-06,(FLSF54:1e-06,((FLBA140:1e-06,(FLCK216:0.00272147,FLSF33:1e-06)100:0.00471979)100:1e-06,(FLMO62:1e-06,((FLAB109:1e-06,FLSF47:1e-06)100:0.00115118,(MXSA3017:0.00117331,FLWO6:1e-06)100:1e-06)100:0.00115141)100:1e-06)100:1e-06)100:0.000765676)100:0.0023259,(((MXED8:1e-06,(CUCA4:1e-06,SCCU3:1e-06)100:0.00191409)100:1e-06,(DO:1e-06,(CUVN10:1e-06,(BZBB1:1e-06,(CRL0001:1e-06,CRL0030:1e-06)100:0.000110887)100:0.000719252)100:4.34718e-06)100:0.000773525)100:0.00232472,((TXMD3:0.00228953,BJSL25:1e-06)100:0.00483771,(BJVL19:1e-06,(BJSB3:1e-06,(TXWV2:0.00733122,((HNDA09:1e-06,CUSV6:1e-06)100:0.00242982,(TXGR3:1e-06,(FLSA185:1e-06,MXGT4:0.0013711)100:1e-06)100:1e-06)100:0.00108764)100:1.57406e-05)100:1e-06)100:1e-06)100:1e-06)100:0.0023201)100:0.00701627)100:0.000988955)100:0.00202454);"
8,200000,300000,30,34,"(reference:0.00431165,(DU:1e-06,(EN:0.00219007,AR:1e-06)100:1.2445e-05)100:0.00650282,((HE:0.00432878,NI:1e-06)100:0.029185,(((HNDA09:1e-06,(MXSA3017:1e-06,(CUVN10:1e-06,CRL0001:1e-06)100:0.00105146)100:1e-06)100:2.43174e-05,((TXMD3:1e-06,BJSL25:1e-06)100:0.00366132,(CRL0030:1e-06,(MXED8:1e-06,(BJVL19:1e-06,(FLSA185:1e-06,(MXGT4:0.00180718,(TXGR3:1e-06,CUSV6:0.00215527)100:1e-06)100:0.00180555)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00318368,((FLCK18:1e-06,LALC2:1e-06)100:1e-06,(SCCU3:1e-06,(DO:1e-06,(FLAB109:1e-06,(FLBA140:1e-06,(FLMO62:1e-06,((FLCK216:0.00179667,TXWV2:1e-06)100:1.62418e-05,(FLSF33:1e-06,(FLSF54:1e-06,(FLWO6:1e-06,(BZBB1:1e-06,(FLSF47:1e-06,CH:0.000315768)100:1e-06)100:0.0017808)100:1e-06)100:1e-06)100:0.0015253)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0010937)100:0.00218171)100:0.00817645)100:0.00276919);"
9,225000,325000,38,37,"(reference:0.00742332,(DO:1e-06,(DU:1e-06,(EN:0.00117324,(HE:0.00288818,NI:1e-06)100:0.0276875)100:1e-06)100:1e-06)100:0.00364274,(CH:0.00652175,(BZBB1:0.0018847,(AR:0.00290222,((LALC2:1e-06,(FLCK18:1e-06,(CUMM5:1e-06,(TXWV2:1e-06,(SCCU3:1e-06,(FLSF54:1e-06,((FLBA140:1e-06,(FLSF33:1e-06,CUCA4:1e-06)100:0.00106712)100:1e-06,(FLMO62:1e-06,(FLCK216:0.00106258,(FLSF47:1e-06,(FLAB109:1e-06,FLWO6:1e-06)100:0.00149004)100:0.000329134)100:1e-06)100:1e-06)100:0.000889549)100:1e-06)100:1e-06)100:1e-06)100:1.07658e-05)100:1e-06)100:0.00273145,(MXSA3017:1e-06,(((CUVN10:1e-06,CRL0001:1e-06)100:0.000917004,(CRL0030:1e-06,(HNDA09:1e-06,TXMD3:0.00134129)100:1e-06)100:1e-06)100:0.000909738,((BJSB3:1e-06,(BJSL25:1e-06,BJVL19:1e-06)100:1e-06)100:0.00441349,((FLSA185:0.000214057,CUSV6:1e-06)100:0.00264334,(TXGR3:1e-06,(MXED8:1e-06,MXGT4:0.00108853)100:1e-06)100:1e-06)100:0.00109323)100:1e-06)100:1e-06)100:0.00275145)100:0.00260257)100:1e-06)100:1e-06)100:0.000139543);"
