,start,end,nsnps,nsamplecov,tree
0,0,100000,12,36,"(reference:0.0330027,(NI:1e-06,HE:1e-06)100:0.0109082,(CH:1e-06,((DO:0.00545264,(DU:1e-06,(EN:1e-06,AR:0.00556041)100:1e-06)100:1e-06)100:0.0110414,((FLSF54:1e-06,(LALC2:1e-06,(FLAB109:1e-06,(MXED8:0.00565865,BJSL25:1e-06)100:0.0054504)100:1e-06)100:1e-06)100:1e-06,(FLWO6:1e-06,(BJVL19:1e-06,(FLCK18:1e-06,(TXWV2:1e-06,((FLBA140:1e-06,CUVN10:1e-06)100:1e-06,(CRL0001:1e-06,(((CRL0030:1e-06,SCCU3:1e-06)100:1e-06,(BJSB3:1e-06,((HNDA09:1e-06,FLSF47:1e-06)100:1e-06,(TXGR3:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06,((MXSA3017:1e-06,FLSA185:1e-06)100:1e-06,(BZBB1:1e-06,(CUCA4:1e-06,(CUSV6:1e-06,((FLCK216:0.0169021,MXGT4:0.00554911)100:1e-06,(FLMO62:1e-06,TXMD3:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00553313)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00543826)100:0.00686502);"
1,25000,125000,,,
2,50000,150000,,,
3,75000,175000,,,
4,100000,200000,37,35,"(DO:0.00343002,reference:0.00636516,(AR:1e-06,(DU:1e-06,(EN:0.00193148,(BJVL19:1e-06,((CH:0.00782134,(NI:1e-06,HE:1e-06)100:0.0117117)100:1e-06,((MXED8:0.00283287,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:0.00437674,(FLWO6:0.0020706,(FLSF54:1e-06,(FLSF47:0.00396689,(BZBB1:1e-06,(TXMD3:1e-06,(CUVN10:1e-06,(FLBA140:1e-06,(CRL0001:1e-06,(FLMO62:1e-06,((FLAB109:1e-06,((SCCU3:1e-06,(FLSF33:0.00149388,FLCK216:1e-06)100:1e-06)100:1e-06,(MXSA3017:1e-06,(CUCA4:1e-06,CRL0030:0.00292435)100:1e-06)100:1e-06)100:1e-06)100:1e-06,(FLSA185:1e-06,(HNDA09:0.0014647,((LALC2:0.00164571,FLCK18:1e-06)100:1e-06,(TXGR3:1e-06,(CUSV6:1e-06,MXGT4:0.00271462)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1.08464e-05)100:0.00178231)100:0.00735877)100:1e-06)100:0.00224265)100:0.0030881)100:0.00548856)100:0.00713931)100:1e-06)100:0.00206822);"
5,125000,225000,64,36,"(reference:0.0116172,(EN:0.00267605,DU:1e-06)100:0.00140854,(AR:1e-06,(DO:0.00333645,(BJVL19:0.000754412,((CH:0.00584128,(HE:1e-06,NI:0.00144291)100:0.00849416)100:0.00157813,(CRL0030:0.00371612,((FLWO6:0.00100089,(BJSB3:1e-06,BJSL25:1e-06)100:0.0037113)100:1e-06,(CRL0001:1e-06,(FLSF54:1e-06,(SCCU3:1e-06,(FLAB109:1e-06,((FLSF33:0.00253875,(FLCK216:1e-06,(FLBA140:1e-06,(FLSF47:0.00195475,(CUVN10:1e-06,FLMO62:1e-06)100:1e-06)100:0.00100493)100:0.000587534)100:1e-06)100:1e-06,(TXMD3:1e-06,((CUCA4:1e-06,LALC2:1e-06)100:0.00233686,((FLCK18:0.00108137,FLSA185:0.000910154)100:1e-06,(MXED8:0.00343959,(TXWV2:1e-06,(CUSV6:1e-06,(MXGT4:0.00301809,(HNDA09:0.000893869,(BZBB1:1e-06,(MXSA3017:1e-06,TXGR3:0.00119499)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.000983729)100:1e-06)100:1e-06)100:1e-06)100:0.00289736)100:1e-06)100:0.00150652)100:4.8896e-05)100:1e-06)100:0.00191875)100:0.0049585)100:0.00337004)100:0.00484454)100:0.0102175)100:0.00212597)100:0.00212845);"
6,150000,250000,93,36,"(DU:1e-06,reference:0.0118598,((DO:0.00417374,EN:0.00270727)100:0.00219795,(AR:1e-06,(BJVL19:0.00188768,((CH:0.0069391,(NI:0.00220371,HE:1e-06)100:0.0115237)100:0.00073646,(CRL0030:0.00212963,((FLWO6:0.000803581,(FLMO62:0.000810358,(BJSB3:0.000624778,BJSL25:1e-06)100:0.00348643)100:0.0017088)100:1e-06,(FLSF54:1e-06,(TXWV2:1e-06,(SCCU3:1e-06,((FLCK216:1e-06,(FLAB109:1e-06,(CUCA4:0.00154616,(FLBA140:1e-06,FLSF33:0.00360396)100:0.000569844)100:1e-06)100:1e-06)100:1e-06,((CUVN10:0.00229506,FLSF47:0.00178279)100:0.00075675,(TXMD3:1e-06,(CUSV6:1e-06,((FLSA185:0.00133446,FLCK18:0.000754047)100:1e-06,(MXED8:0.00331185,(MXSA3017:1e-06,(BZBB1:1e-06,(MXGT4:0.00269955,(HNDA09:0.00178837,(TXGR3:0.0046889,(LALC2:0.0017316,CRL0001:1e-06)100:1e-06)100:0.0016369)100:0.0025599)100:1e-06)100:1e-06)100:0.0013077)100:1e-06)100:1e-06)100:1e-06)100:0.00222588)100:1e-06)100:1e-06)100:1e-06)100:0.00108316)100:0.00112415)100:0.00324984)100:0.00720163)100:0.00292623)100:0.00777796)100:0.0012896)100:0.000835068);"
7,175000,275000,95,36,"(DU:1e-06,reference:0.0108213,((DO:0.00410089,EN:0.00281256)100:0.00225485,(AR:1e-06,(BJVL19:0.00170697,((CH:0.00739865,(NI:0.00218324,HE:1e-06)100:0.0113903)100:0.000813765,(CRL0030:0.00190603,((FLWO6:0.00070891,(FLMO62:0.000707996,(BJSL25:1e-06,BJSB3:0.000564848)100:0.003171)100:0.00154213)100:1e-06,(FLSF54:1e-06,(SCCU3:1e-06,(CUCA4:0.00205701,((CUVN10:0.00203523,FLSF47:0.00160247)100:0.000690238,((FLCK216:1e-06,(FLAB109:1e-06,(FLSF33:0.00357033,FLBA140:1e-06)100:0.000519677)100:1e-06)100:1e-06,(TXMD3:1e-06,((FLCK18:0.000747585,(MXED8:0.00288267,(CUSV6:1e-06,MXSA3017:0.000660433)100:1e-06)100:1e-06)100:1e-06,(FLSA185:0.00120059,(LALC2:0.000599555,(BZBB1:1e-06,(MXGT4:0.00241719,(CRL0001:1e-06,(TXWV2:1e-06,(TXGR3:0.00380512,HNDA09:0.00279575)100:6.12769e-05)100:0.00199118)100:1e-06)100:1e-06)100:0.00179357)100:0.00234191)100:1e-06)100:1e-06)100:0.00252876)100:1e-06)100:1e-06)100:1e-06)100:0.000987179)100:0.00102516)100:0.00295924)100:0.0065386)100:0.00266062)100:0.00708651)100:0.00117769)100:0.000770214);"
8,200000,300000,58,36,"(EN:0.00561741,reference:0.0122904,(DU:1e-06,(AR:0.00113657,((CH:0.00796004,(NI:0.00462332,HE:1e-06)100:0.00932754)100:0.00248901,(DO:0.00153876,(CRL0030:0.00103626,(((FLMO62:0.00103272,(BJSB3:0.000832424,BJSL25:1e-06)100:0.00163154)100:0.0016032,(FLSF54:1e-06,((FLCK216:1e-06,(CUVN10:0.00308646,FLSF47:1e-06)100:0.0012387)100:0.00121823,(FLAB109:1e-06,(SCCU3:1e-06,(FLWO6:1e-06,(FLBA140:1e-06,FLSF33:0.0052107)100:2.14421e-05)100:1e-06)100:5.11035e-05)100:0.000755863)100:1e-06)100:1e-06)100:0.00214292,((FLCK18:0.00118194,((TXMD3:1e-06,(FLSA185:0.00197981,MXED8:0.00189754)100:1e-06)100:1e-06,(CUSV6:1e-06,(TXWV2:1e-06,MXSA3017:0.00100036)100:3.39255e-05)100:1e-06)100:1e-06)100:0.00162838,((BZBB1:1e-06,MXGT4:0.00209709)100:0.0010446,((CRL0001:1e-06,LALC2:0.00192784)100:0.00202014,(TXGR3:0.00591883,(BJVL19:0.000984612,(CUCA4:0.00195237,HNDA09:0.00145431)100:0.00130054)100:1e-06)100:0.000907984)100:0.0042098)100:1e-06)100:0.00104295)100:0.00568449)100:0.00569801)100:0.00280001)100:0.000919573)100:0.00186782)100:1e-06);"
9,225000,325000,46,36,"(DU:1e-06,reference:0.00715386,(((CUCA4:1e-06,HNDA09:1e-06)100:0.00503969,(AR:1e-06,(BJVL19:0.00130261,EN:0.0041168)100:1e-06)100:0.00194037)100:0.00107397,((NI:0.0035035,HE:1e-06)100:0.0143406,(CH:0.00605352,(DO:0.00423792,((CRL0001:0.00193332,(FLSF33:0.0035484,LALC2:1e-06)100:0.00135296)100:0.00311412,(TXGR3:0.00814044,(CUVN10:0.00110954,(FLBA140:1e-06,(FLWO6:1e-06,(SCCU3:1e-06,(((FLMO62:1e-06,MXGT4:1e-06)100:1e-06,(BJSB3:0.00105453,BJSL25:1e-06)100:0.0041132)100:0.00201219,((FLCK18:1e-06,(FLCK216:1e-06,FLSF47:0.00112865)100:1e-06)100:1e-06,(FLSF54:1e-06,(FLAB109:1e-06,((BZBB1:1e-06,CRL0030:1e-06)100:1e-06,(TXWV2:1e-06,((MXED8:1e-06,FLSA185:0.00177589)100:0.00147358,(TXMD3:0.00103687,(CUSV6:1e-06,MXSA3017:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00100904)100:0.00111627)100:1e-06)100:1e-06)100:1e-06)100:0.00191273)100:1e-06)100:6.72952e-05)100:0.00201022)100:0.00100337)100:2.25932e-06)100:0.00204557)100:0.0020049)100:0.00131197)100:0.00160385)100:0.0010052);"
