,start,end,nsnps,nsamplecov,tree
0,0,100000,43.0,36.0,"(reference:0.00537952,(AR:0.0033351,(DU:0.00107153,(DO:1e-06,EN:0.00171249)100:0.0020779)100:0.0016305)100:1e-06,((HE:1e-06,NI:1e-06)100:0.0143327,(CH:0.00977064,(TXMD3:1e-06,(CUVN10:1e-06,((BJSB3:1e-06,(FLMO62:1e-06,((MXGT4:1e-06,BZBB1:1e-06)100:0.00115523,(BJVL19:1e-06,BJSL25:1e-06)100:0.00488297)100:1e-06)100:0.0011713)100:0.000687997,(MXED8:1e-06,(FLSA185:1e-06,((FLAB109:1e-06,(FLSF33:1e-06,TXGR3:1e-06)100:1e-06)100:0.00101335,(FLSF47:1e-06,(LALC2:1e-06,(FLBA140:1e-06,(FLSF54:1e-06,(SCCU3:0.00601665,((CRL0001:1e-06,CRL0030:1e-06)100:0.0026111,(HNDA09:1e-06,(CUCA4:1e-06,(MXSA3017:0.00218885,(CUSV6:1e-06,(FLCK216:1e-06,(TXWV2:1e-06,(FLCK18:0.00171435,FLWO6:0.00255322)100:2.69913e-05)100:6.24319e-05)100:7.61717e-05)100:1e-06)100:0.000335546)100:0.00151535)100:1e-06)100:0.00123954)100:0.00119056)100:1e-06)100:1e-06)100:1e-06)100:0.000894663)100:0.00051695)100:0.00121964)100:1e-06)100:1e-06)100:0.00264526)100:0.0114723)100:0.00376241)100:1e-06);"
1,20000,120000,40.0,36.0,"(AR:0.0030174,reference:0.00545919,((DU:1e-06,(EN:0.00110386,DO:1e-06)100:0.00154528)100:0.00129248,((NI:1e-06,HE:1e-06)100:0.0134323,(CH:0.00943885,(((BZBB1:1e-06,(TXMD3:1e-06,MXGT4:1e-06)100:0.00291831)100:0.00155306,(FLSF47:1e-06,(FLCK18:1e-06,(BJSL25:1e-06,BJVL19:1e-06)100:0.00301082)100:1e-06)100:0.000398399)100:0.00142344,(BJSB3:0.000888524,(FLBA140:1e-06,(CUVN10:1e-06,((MXSA3017:0.00136554,CUSV6:1e-06)100:1e-06,(LALC2:1e-06,((MXED8:1e-06,(FLWO6:1e-06,FLMO62:1e-06)100:0.00167821)100:1e-06,((TXGR3:0.00123716,(FLSF33:1e-06,(FLAB109:1e-06,FLCK216:1e-06)100:0.000463763)100:0.000270047)100:0.000732431,((CRL0001:1e-06,CRL0030:1e-06)100:0.00130286,(TXWV2:1e-06,(SCCU3:0.00552334,(FLSA185:1e-06,(CUCA4:0.0013684,(HNDA09:1e-06,FLSF54:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00073696)100:0.00074382)100:0.000742995)100:0.00102986)100:8.34373e-05)100:0.000490959)100:5.06097e-06)100:1.87913e-06)100:1e-06)100:0.00942433)100:0.00247544)100:1e-06)100:1e-06);"
2,40000,140000,58.0,37.0,"(reference:0.00497792,(AR:0.00298738,(DU:1e-06,(EN:0.000805315,DO:1e-06)100:0.00114699)100:0.000994416)100:1e-06,((CH:0.00639476,(HE:1e-06,NI:1e-06)100:0.0171617)100:0.00302214,((LALC2:1e-06,(CUMM5:0.00565505,((FLSF54:1e-06,HNDA09:1e-06)100:0.000614226,(CRL0001:1e-06,(FLSA185:0.000407527,CRL0030:1e-06)100:0.000468636)100:0.000887336)100:1e-06)100:1e-06)100:0.00126277,(CUVN10:1e-06,(BJSB3:0.000685495,(((FLMO62:1e-06,FLWO6:1e-06)100:0.00100945,(FLBA140:1e-06,(FLSF33:0.0011153,TXGR3:0.00137036)100:0.00108343)100:1e-06)100:0.000855796,((BJSL25:1e-06,BJVL19:1e-06)100:0.00415775,(MXED8:1e-06,((SCCU3:0.00450222,(FLCK216:1e-06,FLAB109:1e-06)100:1e-06)100:0.00175175,(TXWV2:1e-06,((BZBB1:1e-06,(TXMD3:1e-06,MXGT4:0.00126963)100:0.00164125)100:0.00129897,(MXSA3017:0.000934076,(CUSV6:1e-06,(CUCA4:0.00188582,(FLCK18:1e-06,FLSF47:1e-06)100:0.00167623)100:1e-06)100:1e-06)100:0.000756872)100:5.78542e-06)100:0.000489662)100:1e-06)100:0.00140006)100:0.00016607)100:1e-06)100:1e-06)100:0.000303183)100:0.0100382)100:0.00209885);"
3,60000,160000,56.0,37.0,"(reference:0.00314291,(DU:1e-06,(DO:1e-06,AR:0.00403427)100:0.000799227)100:1e-06,((EN:0.000865058,(HE:1e-06,NI:1e-06)100:0.0183667)100:0.0008429,(CH:0.00643355,(CRL0001:1e-06,(CUMM5:0.00390089,(CUVN10:0.00070017,(LALC2:0.000699574,((BJVL19:1e-06,BJSL25:1e-06)100:0.00413029,((CUSV6:1e-06,((FLBA140:1e-06,TXGR3:0.00160111)100:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,(TXWV2:1e-06,(FLWO6:1e-06,(FLSA185:1e-06,(CRL0030:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.000938294)100:1e-06)100:0.000865324)100:0.000109376)100:0.000475462,(HNDA09:1e-06,(BJSB3:0.000743227,((SCCU3:0.00221754,MXSA3017:1e-06)100:1e-06,((MXED8:1e-06,(CUCA4:0.00171867,(FLSF47:1e-06,FLCK18:1e-06)100:0.000767199)100:1e-06)100:1e-06,((FLAB109:1e-06,FLCK216:1e-06)100:1e-06,(BZBB1:1e-06,(TXMD3:1e-06,MXGT4:0.0012469)100:0.00172737)100:0.00117682)100:0.000825805)100:1e-06)100:0.00175496)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1.76562e-06)100:0.000803861)100:0.00835092)100:0.00276266)100:1e-06);"
4,80000,180000,60.0,37.0,"(reference:0.00376393,(DU:1e-06,(AR:0.00409322,DO:1e-06)100:0.000810118)100:1e-06,((EN:0.000862791,(HE:1e-06,NI:1e-06)100:0.0206986)100:0.000929422,(CH:0.0121218,(CRL0001:1e-06,(CUVN10:0.000707973,((CUMM5:0.00393915,(BJSL25:1e-06,BJVL19:1e-06)100:0.00332967)100:0.000591461,((CUSV6:1e-06,(LALC2:0.000707972,(TXWV2:1e-06,((TXGR3:0.00162172,FLBA140:1e-06)100:1e-06,(FLWO6:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,(FLSA185:1e-06,(CRL0030:1e-06,FLSF33:1e-06)100:1e-06)100:0.00095018)100:1e-06)100:1e-06)100:0.000873866)100:1e-06)100:9.98136e-05)100:1e-06)100:0.000489049,(BJSB3:0.000752769,(HNDA09:1e-06,((SCCU3:0.00224246,MXSA3017:1e-06)100:1e-06,((MXED8:1e-06,(CUCA4:0.00174082,(FLSF47:1e-06,FLCK18:1e-06)100:0.000776983)100:1e-06)100:1e-06,((FLAB109:1e-06,FLCK216:1e-06)100:1e-06,(BZBB1:1e-06,(TXMD3:1e-06,MXGT4:0.00130301)100:0.00159453)100:0.00112224)100:0.000783911)100:1e-06)100:0.00166716)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00073384)100:0.00909595)100:0.00242917)100:1e-06);"
5,100000,200000,42.0,37.0,"(CH:0.0166642,reference:0.00267607,(EN:0.0011562,((DU:1e-06,(DO:1e-06,AR:0.00346643)100:1e-06)100:0.00114818,((HE:1e-06,NI:1e-06)100:0.0258655,((LALC2:0.000953408,(CUSV6:1e-06,((BZBB1:1e-06,TXGR3:0.00181712)100:0.00134604,(FLBA140:1e-06,(FLMO62:1e-06,(FLWO6:1e-06,(CRL0030:1e-06,(FLSF54:1e-06,(FLSA185:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00161519)100:1e-06)100:0.000807162)100:1e-06)100:1e-06,(((TXWV2:1e-06,CUVN10:0.000924902)100:2.25245e-05,(CRL0001:1e-06,(CUMM5:0.0039629,(BJSL25:1e-06,BJVL19:1e-06)100:2.21895e-05)100:0.00372083)100:1e-06)100:1e-06,(HNDA09:1e-06,(BJSB3:0.00103572,((MXED8:1e-06,(FLAB109:1e-06,FLCK216:1e-06)100:1e-06)100:0.000810652,((FLSF47:1e-06,FLCK18:1e-06)100:0.00111505,(MXSA3017:1e-06,(CUCA4:0.0025105,(SCCU3:1e-06,(MXGT4:0.00246041,TXMD3:1e-06)100:1e-06)100:9.10737e-06)100:0.00260606)100:1e-06)100:1e-06)100:0.00223461)100:1e-06)100:1e-06)100:1e-06)100:0.00501296)100:0.000627228)100:1e-06)100:0.00228399);"
6,120000,220000,62.0,36.0,"(EN:0.00145992,reference:0.00449511,((AR:0.0024478,(DU:0.00113139,DO:0.00172242)100:0.00192019)100:0.000711912,(CH:0.00734351,((HE:1e-06,NI:1e-06)100:0.0279549,(BZBB1:1e-06,(CRL0030:1e-06,((BJSL25:0.00190709,(CUMM5:0.00403941,BJVL19:0.00185173)100:2.8788e-05)100:1e-06,(CRL0001:1e-06,(MXED8:0.00105019,(FLSF54:1e-06,((CUVN10:0.00212188,((FLSA185:1e-06,FLSF33:1e-06)100:0.000948688,(FLMO62:0.00130734,(FLBA140:1e-06,(FLWO6:1e-06,(LALC2:0.00116069,TXGR3:0.000536546)100:4.23049e-05)100:6.16204e-05)100:0.000654443)100:1e-06)100:0.00105174)100:1e-06,(TXMD3:1e-06,(BJSB3:1e-06,(FLAB109:1e-06,((MXSA3017:1e-06,(MXGT4:1e-06,HNDA09:1e-06)100:0.00245807)100:0.00102684,(FLSF47:1e-06,((SCCU3:1e-06,FLCK216:0.00142454)100:1e-06,(FLCK18:1e-06,(CUCA4:0.00130199,CUSV6:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00328127)100:0.00334004)100:1e-06)100:1e-06)100:0.00124759)100:1e-06)100:1e-06)100:0.00512706)100:0.00343885)100:0.0014344)100:1e-06);"
7,140000,240000,53.0,37.0,"(EN:0.00288011,reference:0.000532047,(CH:0.00972742,((AR:0.00229408,(DU:0.00145969,DO:0.00209124)100:0.00212224)100:0.000802698,((HE:1e-06,NI:1e-06)100:0.0257887,(MXED8:0.00258635,(((TXWV2:1e-06,BJSL25:0.0022602)100:2.92035e-05,(BZBB1:1e-06,(SCCU3:1e-06,BJVL19:0.0011269)100:4.51369e-06)100:1e-06)100:1e-06,(CRL0001:1e-06,(CRL0030:1e-06,(CUCA4:1e-06,(TXMD3:1e-06,(FLSF47:1e-06,(BJSB3:1e-06,(FLWO6:1e-06,(CUSV6:1e-06,(FLCK18:1e-06,(HNDA09:0.00458275,((MXSA3017:1e-06,(FLCK216:1e-06,FLMO62:1e-06)100:0.00254328)100:1e-06,(FLAB109:1e-06,(FLSA185:1e-06,(CUMM5:1e-06,(FLSF54:1e-06,(CUVN10:0.00258407,(FLBA140:1e-06,(FLSF33:1e-06,(TXGR3:1e-06,(MXGT4:1e-06,LALC2:0.00291071)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00548619)100:1e-06)100:0.00131048)100:1e-06)100:0.00157735)100:1e-06)100:0.00126119)100:5.23999e-06)100:1e-06)100:1e-06)100:1e-06)100:0.000299691)100:1e-06)100:1e-06)100:1e-06)100:0.00317784)100:1e-06)100:0.00642752)100:0.00380626)100:0.00286127)100:0.00300822);"
8,160000,260000,44.0,36.0,"(CH:0.0104458,reference:0.00420578,(AR:0.00140014,((DU:0.00179476,DO:0.00258883)100:0.00236692,((NI:1e-06,HE:1e-06)100:0.0258116,(MXED8:0.00332492,(((TXWV2:1e-06,BJSL25:0.00283537)100:1.82825e-05,(BZBB1:1e-06,(SCCU3:1e-06,(BJVL19:0.0014089,FLCK18:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06,(CRL0001:1e-06,(CRL0030:1e-06,(CUCA4:1e-06,(BJSB3:1e-06,(TXMD3:1e-06,(FLWO6:1e-06,(CUSV6:1e-06,(EN:1e-06,(FLSF47:1e-06,(HNDA09:0.0057198,((MXSA3017:1e-06,(FLCK216:1e-06,FLMO62:1e-06)100:0.00324837)100:1e-06,(FLAB109:1e-06,(FLSA185:1e-06,(FLSF54:1e-06,(FLBA140:1e-06,(FLSF33:1e-06,(MXGT4:1e-06,(TXGR3:1e-06,(LALC2:0.00193563,CUVN10:0.00165692)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00684038)100:0.00161841)100:1e-06)100:0.00204041)100:1e-06)100:0.00183168)100:2.52152e-06)100:1.54324e-05)100:1e-06)100:0.000113427)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.003954)100:1e-06)100:0.00593767)100:0.00414377)100:0.00171713)100:0.0017107);"
9,180000,280000,46.0,36.0,"(CH:0.00488401,reference:0.00285926,(DU:0.00417727,(CUCA4:1e-06,((DO:0.00526869,(AR:1e-06,(EN:1e-06,CUSV6:0.00104439)100:0.000189425)100:0.00219732)100:1e-06,((HE:1e-06,NI:1e-06)100:0.0237628,((BZBB1:1e-06,BJSL25:0.00261663)100:1e-06,((BJSB3:1e-06,BJVL19:0.00127902)100:0.00117528,(TXWV2:1e-06,(CRL0001:1e-06,(TXMD3:1e-06,(CRL0030:1e-06,(FLCK18:1e-06,(FLWO6:1e-06,(HNDA09:0.00585184,((FLSF47:1e-06,(FLAB109:1e-06,FLSF54:0.00160706)100:0.00136952)100:1.20537e-05,(MXSA3017:1e-06,((FLCK216:1e-06,FLMO62:1e-06)100:0.00255807,(CUVN10:0.00143636,(FLBA140:1e-06,(TXGR3:1e-06,(FLSA185:1e-06,(LALC2:0.00446148,(MXGT4:0.00204248,(MXED8:1e-06,(SCCU3:1e-06,FLSF33:0.00140866)100:3.23449e-05)100:1e-06)100:0.00297043)100:1e-06)100:0.00338631)100:1e-06)100:1e-06)100:0.00449835)100:1e-06)100:1e-06)100:1e-06)100:0.00173648)100:9.80209e-06)100:4.17553e-05)100:1e-06)100:1e-06)100:1e-06)100:0.00378942)100:1e-06)100:0.00653769)100:0.00286011)100:0.00147976)100:0.0024309)100:0.000542897);"
